signal_date,ticker,stage,entry_price,ret_1d,ret_5d,ret_20d,computed_at
2026-05-28,BREN,stage1,2640.0,0.25,,,2026-05-29T06:02:21
2026-05-28,TPIA,stage1,1900.0,0.0053,,,2026-05-29T06:02:21
2026-05-28,INKP,stage1,7775.0,0.0032,,,2026-05-29T06:02:21
2026-05-28,CBDK,stage1,3930.0,-0.0076,,,2026-05-29T06:02:21
2026-05-28,INDY,stage1,2360.0,-0.0127,,,2026-05-29T06:02:21
2026-05-28,CUAN,stage1,505.0,0.2475,,,2026-05-29T06:02:21
2026-05-28,MEDC,stage1,1255.0,-0.0239,,,2026-05-29T06:02:21
2026-05-28,TOBA,stage1,430.0,0.0,,,2026-05-29T06:02:21
2026-05-28,BKSL,stage1,75.0,0.0,,,2026-05-29T06:02:21
2026-05-28,NICL,stage1,545.0,0.0459,,,2026-05-29T06:02:21
2026-05-28,KIJA,stage1,122.0,0.0,,,2026-05-29T06:02:21
2026-05-28,SINI,stage1,11225.0,0.098,,,2026-05-29T09:53:45
2026-05-29,PTRO,stage1,4570.0,0.1543,,,2026-06-02T05:18:57
2026-05-29,RAJA,stage1,3830.0,0.0339,,,2026-06-02T05:18:57
2026-05-29,MINA,stage1,334.0,0.024,,,2026-06-02T05:18:57
2026-05-29,CUAN,stage1,630.0,0.246,,,2026-06-02T05:18:57
2026-05-29,GTSI,stage1,158.0,-0.0316,,,2026-06-02T05:18:57
2026-05-29,CBDK,stage1,3890.0,-0.0077,,,2026-06-02T05:18:57
2026-05-29,TPIA,stage1,1800.0,0.0667,,,2026-06-02T05:18:57
2026-05-29,BREN,stage1,3300.0,0.2091,,,2026-06-02T05:18:57
2026-05-29,INDY,stage1,2280.0,-0.0132,,,2026-06-02T05:18:57
2026-05-29,CDIA,stage1,850.0,0.0706,,,2026-06-02T05:18:57
2026-05-29,MEDC,stage1,1210.0,0.0289,,,2026-06-02T05:18:57
2026-05-29,TOBA,stage1,432.0,0.0185,,,2026-06-02T05:18:57
2026-05-29,BKSL,stage1,75.0,0.0267,,,2026-06-02T05:18:57
2026-05-29,ANTM,stage1,2900.0,0.0069,,,2026-06-02T05:18:57
2026-05-29,NICL,stage1,570.0,-0.0088,,,2026-06-02T05:18:57
2026-06-02,ASPR,stage1,212.0,-0.0377,,,2026-06-03T05:21:33
2026-06-02,GTSI,stage1,141.0,-0.0709,,,2026-06-03T05:21:33
2026-06-02,INKP,stage1,7750.0,-0.0194,,,2026-06-03T05:21:33
2026-06-02,CBDK,stage1,3910.0,-0.0153,,,2026-06-03T05:21:33
2026-06-02,TPIA,stage1,1850.0,-0.027,,,2026-06-03T05:21:33
2026-06-02,INDY,stage1,2230.0,-0.009,,,2026-06-03T05:21:33
2026-06-02,TOBA,stage1,434.0,-0.0369,,,2026-06-03T05:21:33
2026-06-02,BKSL,stage1,74.0,-0.0811,,,2026-06-03T05:21:33
2026-06-02,KIJA,stage1,123.0,-0.0163,,,2026-06-03T05:21:33
2026-06-02,EMTK,stage1,615.0,-0.0407,,,2026-06-03T05:21:33
2026-06-02,COIN,stage1,815.0,-0.0307,,,2026-06-03T05:21:33
2026-06-02,BRPT,stage1,1920.0,-0.0417,,,2026-06-03T05:21:33
2026-06-02,BRMS,stage1,580.0,-0.0345,,,2026-06-03T05:21:33
2026-06-02,BREN,stage1,4070.0,-0.0049,,,2026-06-03T05:21:33
2026-06-02,MINA,stage1,336.0,-0.0298,,,2026-06-03T05:21:33
2026-06-02,SMDR,stage1,304.0,-0.0066,,,2026-06-03T05:21:33
2026-06-02,TAPG,stage1,1540.0,-0.013,,,2026-06-03T05:21:33
2026-06-03,ZATA,stage1,54.0,0.1111,,,2026-06-04T05:23:55
2026-06-03,BRMS,stage1,515.0,-0.0194,,,2026-06-04T05:23:55
2026-06-03,GTSI,stage1,122.0,-0.041,,,2026-06-04T05:23:55
2026-06-03,INKP,stage1,7150.0,-0.0105,,,2026-06-04T05:23:55
2026-06-03,ARCI,stage1,1025.0,0.0098,,,2026-06-04T05:23:55
2026-06-03,CBDK,stage1,3600.0,-0.0361,,,2026-06-04T05:23:55
2026-06-03,TPIA,stage1,1615.0,-0.0774,,,2026-06-04T05:23:55
2026-06-03,INDY,stage1,1955.0,-0.0205,,,2026-06-04T05:23:55
2026-06-03,MBMA,stage1,440.0,-0.0136,,,2026-06-04T05:23:55
2026-06-03,ADMR,stage1,1330.0,0.0263,,,2026-06-04T05:23:55
2026-06-03,TOBA,stage1,404.0,-0.0594,,,2026-06-04T05:23:55
2026-06-03,BKSL,stage1,65.0,-0.0154,,,2026-06-04T05:23:55
2026-06-03,NICL,stage1,515.0,-0.0369,,,2026-06-04T05:23:55
2026-06-03,DEWA,stage1,300.0,-0.0333,,,2026-06-04T05:23:55
2026-06-04,WIFI,stage1,1700.0,-0.0206,,,2026-06-05T05:19:37
2026-06-04,BRMS,stage1,525.0,0.0571,,,2026-06-05T05:19:37
2026-06-04,GTSI,stage1,116.0,-0.0259,,,2026-06-05T05:19:37
2026-06-04,INKP,stage1,7050.0,-0.0177,,,2026-06-05T05:19:37
2026-06-04,CBDK,stage1,3540.0,-0.0169,,,2026-06-05T05:19:37
2026-06-04,TPIA,stage1,1375.0,0.2364,,,2026-06-05T05:19:37
2026-06-04,PANI,stage1,6525.0,-0.0115,,,2026-06-05T05:19:37
2026-06-04,INDY,stage1,1990.0,0.005,,,2026-06-05T05:19:37
2026-06-04,ZATA,stage1,58.0,-0.0172,,,2026-06-05T05:19:37
2026-06-04,SMDR,stage1,284.0,0.0,,,2026-06-05T05:19:37
2026-06-04,MBMA,stage1,426.0,0.0376,,,2026-06-05T05:19:37
2026-06-04,ARCI,stage1,1005.0,0.0149,,,2026-06-05T05:19:37
2026-06-05,WIFI,stage1,1445.0,-0.0657,,,2026-06-08T05:20:41
2026-06-05,ZATA,stage1,52.0,-0.0385,,,2026-06-08T05:20:41
2026-06-05,BRMS,stage1,515.0,-0.1068,,,2026-06-08T05:20:41
2026-06-05,TAPG,stage1,1345.0,-0.0223,,,2026-06-08T05:20:41
2026-06-05,GTSI,stage1,114.0,-0.1579,,,2026-06-08T05:20:41
2026-06-05,INKP,stage1,6700.0,-0.0448,,,2026-06-08T05:20:41
2026-06-05,CBDK,stage1,3370.0,-0.0979,,,2026-06-08T05:20:41
2026-06-05,TPIA,stage1,1385.0,-0.0289,,,2026-06-08T05:20:41
2026-06-05,PANI,stage1,5850.0,-0.0513,,,2026-06-08T05:20:41
2026-06-05,BULL,stage1,300.0,-0.0867,,,2026-06-08T05:20:41
2026-06-05,INDY,stage1,2050.0,-0.0927,,,2026-06-08T05:20:41
2026-06-05,DIVA,stage1,104.0,-0.1154,,,2026-06-08T05:20:41
2026-06-05,SMDR,stage1,274.0,-0.0657,,,2026-06-08T05:20:41
2026-06-05,TOBA,stage1,350.0,-0.1143,,,2026-06-08T05:20:41
2026-06-05,NICL,stage1,452.0,-0.0885,,,2026-06-08T05:20:41
2026-06-05,AADI,stage1,7650.0,-0.0523,,,2026-06-08T05:20:41
2026-06-05,KIJA,stage1,115.0,-0.0696,,,2026-06-08T05:20:41
2026-06-09,WIFI,stage1,1500.0,0.04,,,2026-06-10T05:18:09
2026-06-09,GTSI,stage1,117.0,0.0342,,,2026-06-10T05:18:09
2026-06-09,NICL,stage1,505.0,0.0,,,2026-06-10T05:18:09
2026-06-09,BRMS,stage1,510.0,0.0,,,2026-06-10T05:18:09
2026-06-09,CBDK,stage1,3290.0,0.003,,,2026-06-10T05:18:09
2026-06-09,INDY,stage1,2030.0,0.0099,,,2026-06-10T05:18:09
2026-06-09,ARCI,stage1,980.0,0.0051,,,2026-06-10T05:18:09
2026-06-09,SMDR,stage1,266.0,0.015,,,2026-06-10T05:18:09
2026-06-09,APLN,stage1,121.0,0.0248,,,2026-06-10T05:18:09
2026-06-09,TOBA,stage1,348.0,0.1264,,,2026-06-10T05:18:09
2026-06-09,BKSL,stage1,59.0,0.0847,,,2026-06-10T05:18:09
2026-06-09,DEWA,stage1,270.0,0.0444,,,2026-06-10T05:18:09
2026-06-09,KIJA,stage1,112.0,0.0268,,,2026-06-10T05:18:09
2026-06-09,EMTK,stage1,530.0,0.0189,,,2026-06-10T05:18:09
2026-06-09,COIN,stage1,660.0,0.0758,,,2026-06-10T05:18:09
