signal_date,ticker,stage,entry_price,ret_1d,ret_5d,ret_20d,computed_at
2026-05-25,BUVA,stage1,705.0,-0.1348,,,2026-05-26T10:36:47
2026-05-25,AMMN,stage1,2910.0,0.0928,,,2026-05-26T10:36:47
2026-05-25,BREN,stage1,2390.0,0.046,,,2026-05-26T10:36:47
2026-05-25,INKP,stage1,8150.0,-0.0491,,,2026-05-26T10:36:47
2026-05-25,TPIA,stage1,1790.0,0.0447,,,2026-05-26T10:36:47
2026-05-25,INDY,stage1,2400.0,-0.0125,,,2026-05-26T10:36:47
2026-05-25,CUAN,stage1,478.0,0.0565,,,2026-05-26T10:36:47
2026-05-25,WBSA,stage1,755.0,0.053,,,2026-05-26T10:36:47
2026-05-25,BKSL,stage1,79.0,-0.0506,,,2026-05-26T10:36:47
2026-05-25,NICL,stage1,590.0,-0.0932,,,2026-05-26T10:36:47
2026-05-25,KIJA,stage1,123.0,0.0,,,2026-05-26T10:36:47
2026-05-25,DIVA,stage1,159.0,-0.1572,,,2026-05-26T10:36:47
2026-05-25,EMTK,stage1,670.0,-0.0149,,,2026-05-26T10:36:47
2026-05-26,BUVA,stage1,610.0,0.0,,,2026-05-29T06:02:21
2026-05-26,AMMN,stage1,3120.0,-0.0032,,,2026-05-29T06:02:21
2026-05-26,BREN,stage1,2600.0,0.0154,,,2026-05-29T06:02:21
2026-05-26,INKP,stage1,7825.0,-0.0064,,,2026-05-29T06:02:21
2026-05-26,CBDK,stage1,3930.0,0.0,,,2026-05-29T06:02:21
2026-05-26,TPIA,stage1,1915.0,-0.0078,,,2026-05-29T06:02:21
2026-05-26,INDY,stage1,2350.0,0.0043,,,2026-05-29T06:02:21
2026-05-26,CUAN,stage1,505.0,0.0,,,2026-05-29T06:02:21
2026-05-26,TOBA,stage1,434.0,-0.0092,,,2026-05-29T06:02:21
2026-05-26,BKSL,stage1,74.0,0.0135,,,2026-05-29T06:02:21
2026-05-26,NICL,stage1,540.0,0.0093,,,2026-05-29T06:02:21
2026-05-28,BUVA,stage1,610.0,0.1967,,,2026-05-29T06:02:21
2026-05-28,AMMN,stage1,3110.0,0.0322,,,2026-05-29T06:02:21
2026-05-28,GTSI,stage1,158.0,0.0063,,,2026-05-29T06:02:21
