date,ticker,strategy,side,entry,idx,ret_1d,ret_3d,ret_5d,ret_10d,ret_20d
2025-01-03,AADI,rsi_oversold,BUY,7367.26513671875,17,-0.022292978222194004,-0.006369431817360938,0.079617864578442,0.13375793561030203,0.12738857007007942
2025-01-09,AADI,rsi_oversold,BUY,7226.4892578125,21,0.10064939847363319,0.13311688969820645,0.1428571235519278,0.18181819410331856,0.0064935117585651625
2025-01-23,AADI,rsi_overbought,SELL,8540.396484375,31,-0.0027472835327875256,0.03846151207393711,-0.013736303317665621,-0.14835165274958184,-0.19505495824874564
2025-01-30,AADI,vol_breakout_up,BUY,9033.111328125,33,-0.01818180638808653,-0.06753247005969576,-0.13506488606478817,-0.17402593064188976,-0.24675321024883934
2025-02-11,AADI,rsi_oversold,BUY,7273.41455078125,41,0.038709708603403836,0.03225809050283668,0.08064519269092751,-0.054838720288658216,-0.15161292466484022
2025-02-19,AADI,rsi_oversold,BUY,7578.4287109375,47,-0.05263158912059063,-0.058823544571860564,-0.11455107920288243,-0.21052629205195517,-0.1547987574209333
2025-02-20,AADI,vol_breakout_down,SELL,7179.56396484375,48,0.0032680105282008043,-0.04248366079748245,-0.052287556362334064,-0.11437907629939503,-0.10784312325286882
2025-02-28,AADI,rsi_oversold,BUY,6311.44677734375,54,-0.014869900555035342,-0.05204457457823064,-0.03717467402319519,-0.03717467402319519,-0.144981414365005
2025-03-04,AADI,rsi_oversold,BUY,5842.1943359375,56,0.024096404674573302,0.04016067445762217,0.05622486066227195,0.02008029543961154,-0.03614456522266041
2025-03-04,AADI,vol_breakout_down,SELL,5842.1943359375,56,0.024096404674573302,0.04016067445762217,0.05622486066227195,0.02008029543961154,-0.03614456522266041
2025-03-07,AADI,rsi_oversold,BUY,6076.82080078125,59,0.030887974114625738,0.0038609666325413183,0.0,0.05019304833162708,0.0
2025-04-16,AADI,vol_breakout_up,BUY,6499.14794921875,80,-0.010830295888395791,0.046931407399783076,0.01805051819067338,-0.028880889209109806,0.06859207430661551
2025-04-22,AADI,vol_breakout_up,BUY,6804.162109375,83,-0.024137914207497668,-0.024137914207497668,-0.048275900177137676,-0.03793102854382269,-0.006896557168162509
2025-04-29,AADI,rsi_overbought,SELL,6475.68505859375,88,-0.02536230217558877,0.010869611934005263,0.010869611934005263,0.05797106257535045,0.01811599475592396
2025-05-05,AADI,rsi_overbought,SELL,6546.0732421875,91,-0.00716846439577401,0.025089588089472148,0.050179176178944296,0.06451610497049232,0.007168464395773899
2025-05-09,AADI,ma_golden_cross,BUY,6546.0732421875,95,0.050179176178944296,0.04659498127679429,0.06093191006834231,0.050179176178944296,0.03942651688102017
2025-05-20,AADI,vol_breakout_down,SELL,6944.93798828125,100,0.003378345837405705,-0.027027047929257697,-0.01013517812722331,-0.07432431149795549,-0.060810857840829846
2025-07-02,AADI,rsi_oversold,BUY,6287.984375,126,0.033582076803228444,0.03731338415778107,0.022388077086506808,0.033582076803228444,0.026119384441059434
2025-07-02,AADI,ma_death_cross,SELL,6287.984375,126,0.033582076803228444,0.03731338415778107,0.022388077086506808,0.033582076803228444,0.026119384441059434
2025-07-22,AADI,vol_breakout_up,BUY,6546.0732421875,140,0.02867385758309604,-0.01433692879154802,-0.003584269493623893,0.0,-0.017921123693698138
2025-07-23,AADI,vol_breakout_up,BUY,6733.7744140625,141,-0.034843232103791144,-0.020905939262274686,-0.04181187852454937,-0.010453005887270939,-0.04529616547879489
2025-08-14,AADI,ma_golden_cross,BUY,6546.0732421875,157,-0.01433692879154802,-0.017921123693698138,-0.02150539318732203,-0.010752733889397903,0.007168464395773899
2025-08-21,AADI,ma_death_cross,SELL,6428.76025390625,161,-0.0036496757848052397,0.062043728815387444,0.018248151066135643,0.05839412898321217,0.036496302132271286
2025-08-22,AADI,ma_golden_cross,BUY,6405.29736328125,162,0.0,0.029304052759674848,0.010988981669453945,0.036630065949593504,0.036630065949593504
2025-08-26,AADI,vol_breakout_up,BUY,6827.62451171875,164,-0.03436421791500022,-0.05154639838803976,-0.01374564425667646,-0.03780068261582392,0.024055038359147574
2025-09-24,AADI,vol_breakout_up,BUY,6991.86328125,184,0.02013417381923288,0.0,-0.006711414551624495,0.11744964989996753,0.06711407568060412
2025-09-26,AADI,rsi_overbought,SELL,7156.1015625,186,-0.022950803564702804,-0.029508185759311578,-0.022950803564702804,0.009836039175485034,0.026229528778435318
2025-10-02,AADI,rsi_overbought,SELL,7132.638671875,190,-0.01973678986152727,-0.01315783708858187,0.006578952772945401,0.03289476386472723,0.1348684291594182
2025-10-08,AADI,rsi_overbought,SELL,7813.05517578125,194,-0.08108111317339517,-0.06006004448308888,-0.05405409628078306,-0.045045048986206426,-0.012012021395729544
2025-10-08,AADI,vol_breakout_up,BUY,7813.05517578125,194,-0.08108111317339517,-0.06006004448308888,-0.05405409628078306,-0.045045048986206426,-0.012012021395729544
2025-10-09,AADI,vol_breakout_down,SELL,7179.56396484375,195,0.0065359530465260995,0.01960785913957852,0.02614381218610462,0.03267976523263094,0.13398693543897355
2025-10-29,AADI,rsi_overbought,SELL,7836.517578125,209,0.03293412725927314,-0.0029939832470029515,-0.014970040851911004,0.04191620161717835,-0.011040309329045206
2025-11-06,AADI,rsi_overbought,SELL,8141.53173828125,215,-0.017291080282144655,0.0028818767007536827,0.008645570128135383,-0.051161347971258264,-0.07572674996552986
2025-11-13,AADI,rsi_overbought,SELL,8211.919921875,220,-0.005714290131318744,-0.02580637949360487,-0.05929428519851221,-0.09582654596750195,-0.13844751686465673
2025-11-28,AADI,rsi_oversold,BUY,7500.0,231,-0.010000000000000009,0.01333333333333342,-0.00666666666666671,-0.050000000000000044,-0.06999999999999995
2025-12-04,AADI,rsi_oversold,BUY,7525.0,235,-0.009966777408637828,-0.013289036544850474,-0.05980066445182719,-0.05980066445182719,-0.023255813953488413
